Name,Url,FV,LOT,Location,Sale Date
2011 FORD F150 SUPER CAB,https://www.copart.com/lot/48742412/,1FTFX1EF7BFC47475,48742412,KY - LEXINGTON EAST,9/26/2022
2015 CHRYSLER TOWN & COUNTRY TOURING,https://www.copart.com/lot/48832052/,2C4RC1BG2FR717870,48832052,NC - CHINA GROVE,9/26/2022
2006 SUZUKI GRAND VITARA LUXURY,https://www.copart.com/lot/48952162/,JS3TD947X64106715,48952162,FL - MIAMI CENTRAL,9/26/2022
2015 HONDA CIVIC LX,https://www.copart.com/lot/48972112/,2HGFG3B54FH530915,48972112,MD - BALTIMORE,9/26/2022
2014 CHEVROLET CRUZE LT,https://www.copart.com/lot/48994132/,1G1PC5SB3E7445907,48994132,NY - ALBANY,9/26/2022
2016 FORD FLEX SEL,https://www.copart.com/lot/49009852/,2FMGK5C88GBA19732,49009852,VA - RICHMOND EAST,9/26/2022
2015 ACURA RLX TECH,https://www.copart.com/lot/49012812/,JH4KC1F58FC000603,49012812,MD - BALTIMORE,9/26/2022
2009 HYUNDAI SONATA SE,https://www.copart.com/lot/49055122/,5NPEU46CX9H575550,49055122,NC - LUMBERTON,9/26/2022
2015 MERCEDES-BENZ CLA 250,https://www.copart.com/lot/49067312/,WDDSJ4EB1FN180789,49067312,SC - SPARTANBURG,9/26/2022
2001 OLDSMOBILE SILHOUETTE ECONOMY,https://www.copart.com/lot/49120492/,1GHDX23E01D303624,49120492,MD - BALTIMORE,9/26/2022
2016 MERCEDES-BENZ C 300 4MATIC,https://www.copart.com/lot/49171052/,55SWF4KBXGU145751,49171052,NJ - TRENTON,9/26/2022
2012 HONDA CIVIC LX,https://www.copart.com/lot/49229342/,19XFB2F5XCE364327,49229342,NC - CHINA GROVE,9/26/2022
1999 PONTIAC GRAND PRIX GTP,https://www.copart.com/lot/49263312/,1G2WR5214XF346616,49263312,NY - LONG ISLAND,9/26/2022
2013 RAM 1500 ST,https://www.copart.com/lot/49286022/,1C6RR7KTXDS646855,49286022,KY - LEXINGTON EAST,9/26/2022
2015 INFINITI Q50 BASE,https://www.copart.com/lot/49286122/,JN1BV7AP7FM338305,49286122,FL - ORLANDO NORTH,9/26/2022
2014 HONDA CIVIC LX,https://www.copart.com/lot/49366422/,2HGFG3B54EH518844,49366422,FL - ORLANDO NORTH,9/26/2022
2014 CHEVROLET CRUZE LT,https://www.copart.com/lot/49375872/,1G1PE5SB6E7327490,49375872,NY - ALBANY,9/26/2022
2016 HONDA ACCORD EX,https://www.copart.com/lot/49436522/,1HGCR2F79GA224523,49436522,FL - MIAMI CENTRAL,9/26/2022
2016 VOLKSWAGEN PASSAT S,https://www.copart.com/lot/49452742/,1VWAT7A33GC008242,49452742,GA - ATLANTA EAST,9/26/2022
2015 CHEVROLET CRUZE LS,https://www.copart.com/lot/49471572/,1G1PA5SH1F7193599,49471572,FL - ORLANDO NORTH,9/26/2022
2016 AUDI TT ,https://www.copart.com/lot/49517472/,TRUC5AFV6G1015488,49517472,NY - ROCHESTER,9/26/2022
2007 CHEVROLET MALIBU LS,https://www.copart.com/lot/49519592/,1G1ZS58N27F294225,49519592,NC - LUMBERTON,9/26/2022
2009 NISSAN 370Z ,https://www.copart.com/lot/49645442/,JN1AZ44E89M405829,49645442,GA - ATLANTA EAST,9/26/2022
2014 FORD MUSTANG ,https://www.copart.com/lot/49651312/,1ZVBP8AM0E5280191,49651312,GA - SAVANNAH,9/26/2022
2013 NISSAN ALTIMA 2.5,https://www.copart.com/lot/49697592/,1N4AL3AP0DC237817,49697592,MA - SOUTH BOSTON,9/26/2022
2015 FORD FOCUS SE,https://www.copart.com/lot/49700612/,1FADP3K28FL365696,49700612,NC - CHINA GROVE,9/26/2022
2013 KIA OPTIMA LX,https://www.copart.com/lot/49714392/,5XXGM4A79DG139148,49714392,NY - ROCHESTER,9/26/2022
2016 JEEP WRANGLER UNLIMITED SAHARA,https://www.copart.com/lot/49816042/,1C4HJWEG8GL228622,49816042,MA - SOUTH BOSTON,9/26/2022
2012 KIA SORENTO EX,https://www.copart.com/lot/49874492/,5XYKU4A67CG256142,49874492,MD - BALTIMORE,9/26/2022
2015 NISSAN SENTRA S,https://www.copart.com/lot/49955322/,3N1AB7AP9FY283986,49955322,SC - SPARTANBURG,9/26/2022
2015 KIA FORTE LX,https://www.copart.com/lot/49962762/,KNAFX4A61F5352898,49962762,GA - FAIRBURN,9/26/2022
2009 FORD FUSION SE,https://www.copart.com/lot/49980662/,3FAHP07Z49R110314,49980662,NY - BUFFALO,9/26/2022
2011 DODGE RAM 1500 ,https://www.copart.com/lot/50027032/,1D7RV1CT5BS672489,50027032,KY - LOUISVILLE,9/26/2022
2016 HYUNDAI SONATA SE,https://www.copart.com/lot/50051292/,5NPE24AF4GH370567,50051292,NY - BUFFALO,9/26/2022
2016 KIA SORENTO LX,https://www.copart.com/lot/50066302/,5XYPG4A54GG094447,50066302,KY - LOUISVILLE,9/26/2022
2012 DODGE AVENGER SE,https://www.copart.com/lot/50115582/,1C3CDZAB6CN109970,50115582,NY - ROCHESTER,9/26/2022
2009 HYUNDAI SONATA SE,https://www.copart.com/lot/50168402/,5NPEU46C79H511756,50168402,NY - ROCHESTER,9/26/2022
2004 BMW 525 I,https://www.copart.com/lot/50220022/,WBANA53574B849685,50220022,NJ - TRENTON,9/26/2022
2015 MINI COOPER ,https://www.copart.com/lot/50291592/,WMWXM5C57FT942509,50291592,FL - JACKSONVILLE NORTH,9/26/2022
2013 CHRYSLER 200 LIMITED,https://www.copart.com/lot/50359592/,1C3CCBCG8DN649521,50359592,NY - ROCHESTER,9/26/2022
2015 BMW 328 I SULEV,https://www.copart.com/lot/50485822/,WBA3C1C53FK124324,50485822,NC - LUMBERTON,9/26/2022
2011 CHEVROLET EQUINOX,https://www.copart.com/lot/50513902/,2CNA1DEC6B6370817,50513902,GA - SAVANNAH,9/26/2022
2011 LEXUS RX 350,https://www.copart.com/lot/50528822/,2T2ZK1BAXBC041463,50528822,GA - SAVANNAH,9/26/2022
2014 CHEVROLET EQUINOX LS,https://www.copart.com/lot/50559442/,2GNALAEK0E6350214,50559442,NY - BUFFALO,9/26/2022
